route_mode,split,liftoff_subset,sample_count,profile_depth_rmse_m,er_like_profile_error,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,max_depth_error_m,volume_proxy_rel_error,route_used_accuracy,out_of_range_count,sensor_z_m,profile_rmse_delta_vs_force_baseline_all_test_pct,dice_delta_vs_force_baseline_all_test
force_baseline,train,z_0.008,32,0.00046434335854428355,0.30935573438182473,0.6857831114903092,1.5755489226430655,2.1108921375125647,0.9471729106735438,0.19371914688963443,0.2070190366357565,0.1878732554614544,0.1862651500850916,0.7619212145400788,0.8544802321194553,0.000947172909945948,0.5445856092372761,1.0,0,0.008,-37.165741435726254,0.13097748828551548
force_baseline,train,z_0.010,32,0.0005501546343111841,0.5819910083664581,0.9392177839763463,6.4328186977654696,4.311420020181686,1.1305134295253083,0.19448231521528214,0.2062668390572071,0.19333512894809246,0.18384497612714767,0.5393783162109462,0.6674298217098029,0.0011305134357826319,3.0680364763316303,1.0,0,0.01,-25.553886135003975,-0.05607292212413695
force_baseline,train,z_0.012,32,0.0007927776669021114,0.844724987866357,1.0163373397663236,6.555253386963159,4.10596470721066,1.5694149716291577,0.20438424590975046,0.2199476659297943,0.20200493931770325,0.1912001334130764,0.5362223740365542,0.6684448915535617,0.0015694149697083049,3.789149164577774,1.0,0,0.012,7.2775048668179085,-0.05505785228037818
force_baseline,val,z_0.006,8,0.000741369014576776,0.4691051170229912,0.8688351511955261,4.400489374995232,1.9003812819719315,1.654750395566225,0.19703429751098156,0.1604348123073578,0.26202255487442017,0.16864553093910217,0.6484651237153708,0.7742899868126321,0.0016547503910260275,0.5788530965665208,1.0,0,0.006,0.32096184060184907,0.05078724297869219
force_baseline,val,z_0.008,8,0.0005097355888210586,0.4016190767288208,0.6836729608476162,1.9183284640312195,1.449089104309678,1.0309421084821224,0.19252215698361397,0.15310583263635635,0.24894972145557404,0.17551090568304062,0.7816422193776145,0.8663993654898648,0.0010309420904377475,0.7608601356431106,1.0,0,0.008,-31.023331769393245,0.14289662165592498
force_baseline,val,z_0.010,8,0.0007414116653308156,0.8055108548142016,1.0362570360302925,8.228322148323059,4.00174018740654,1.464226813055575,0.19686787016689777,0.14796630293130875,0.2594909146428108,0.1831464022397995,0.4810321637298913,0.6319075125113702,0.0014642268361058086,3.5523494253808017,1.0,0,0.01,0.326733277746314,-0.09159523132256964
force_baseline,val,z_0.012,8,0.0009212591467075981,0.9950622608885169,1.0459555201232433,7.817939639091492,3.1777618303894997,1.8578678853809834,0.19695154298096895,0.16506518423557281,0.25122862309217453,0.17456082999706268,0.5202925461829266,0.6592628668547301,0.0018578679009806365,3.599563808260128,1.0,0,0.012,24.663429257181637,-0.06423987697920974
force_baseline,test,z_0.006,8,0.00035783418934443034,0.282847635447979,0.7817767187952995,3.5341601744294167,2.0648076832294464,0.6282181483693421,0.23032272793352604,0.2772444114089012,0.20795811712741852,0.20576566457748413,0.6859971762697339,0.806185419782982,0.0006282181420829147,0.4662481601454429,1.0,0,0.006,-51.578405154984154,0.0826826759490421
force_baseline,test,z_0.008,8,0.0003330594072394888,0.31298541370779276,0.7203325554728508,1.8778077894821763,1.9728609323501587,0.6381535693071783,0.22658974677324295,0.2824019268155098,0.1906532645225525,0.20671404153108597,0.7387764381632839,0.8439570430594017,0.0006381535640684888,0.6588381767874536,1.0,0,0.008,-54.93089213689278,0.1204542992254618
force_baseline,test,z_0.010,8,0.0009157611784758046,1.3144165761768818,1.1458721831440926,7.034104198217392,4.397413894534111,1.9804704636335373,0.2275782860815525,0.29168278723955154,0.182692252099514,0.20835981518030167,0.49619024835387815,0.6349216843426002,0.0019804704643320292,4.842783714350247,1.0,0,0.01,23.919452303279044,-0.08858105949133965
force_baseline,test,z_0.012,8,0.0013493336882675067,2.096334394067526,1.2519325986504555,8.15542333573103,4.607467353343964,2.868758909404278,0.20332256332039833,0.25431612879037857,0.18700148910284042,0.1686500757932663,0.4708507016109602,0.6089468281507759,0.0028687588637694716,8.2369025572485,1.0,0,0.012,82.58984498859789,-0.11455591568316392
force_adapter,train,z_0.006,32,0.0003058144878878011,0.20381063327658921,0.5610288442112505,1.1341692730784416,1.4207159578800201,0.607601186260581,0.1753419596934691,0.1867842972278595,0.16958727687597275,0.16965430602431297,0.8445394169526124,0.9116586906030553,0.0006076011923141778,0.2884362485803794,1.0,0,0.006,-58.617634448602765,0.1881559467691154
force_adapter,train,z_0.008,32,0.0004186380258488498,0.2638052748516202,0.6306341351009905,1.1362762828357518,1.8289014969486743,0.8588437282014638,0.18492482195142657,0.19814849086105824,0.17983224242925644,0.17679373361170292,0.7923865161788601,0.8771617328808892,0.0008588437194703147,0.42454605733350315,1.0,0,0.008,-43.350519659655895,0.1536589890469493
force_adapter,train,z_0.010,32,0.0002808969191505639,0.19118638196960092,0.522158479783684,1.1224320270121098,1.498777250526473,0.5672421958297491,0.15951937926001847,0.1734760869294405,0.15448694303631783,0.15059510804712772,0.8256366160823168,0.8992299975691365,0.0005672422048519365,0.2774355074247048,1.0,0,0.01,-61.98944310704255,0.1757272537351966
force_adapter,train,z_0.012,32,0.00032419282342743827,0.2396898886654526,0.572998124640435,1.3990434762090445,2.0468755289912224,0.6615700897527859,0.1640540860244073,0.17623782716691494,0.1633358933031559,0.15258853510022163,0.7747870589331967,0.8670889932888884,0.0006615700876864139,0.4444393057706468,1.0,0,0.012,-56.13070518380439,0.14358624945494858
force_adapter,val,z_0.006,8,0.000390474251616979,0.2735394136980176,0.6537701450288296,1.963400162756443,1.7101718322373927,0.6999241476878524,0.19415744673460722,0.153901569545269,0.25426220893859863,0.17430856823921204,0.7354105188369532,0.8441675318976526,0.0006999241450103,0.3442142476253013,1.0,0,0.006,-47.16160005882226,0.12066478806371272
force_adapter,val,z_0.008,8,0.00045721823062194744,0.3394152713008225,0.634484626352787,0.9215909633785486,1.1106575168669224,0.9347318038344383,0.19530946109443903,0.15663447231054306,0.25026850402355194,0.17902540415525436,0.8317701142674203,0.8997242525721096,0.0009347318118670955,0.5896946832768616,1.0,0,0.008,-38.12990323956714,0.17622150873816977
force_adapter,val,z_0.010,8,0.00040377225923293736,0.3330492787063122,0.786980252712965,2.3390399515628815,1.7877503745257854,0.6617548847571015,0.2483709193766117,0.1800438016653061,0.3249729052186012,0.24009604007005692,0.7302876101109157,0.8313098374061993,0.0006617548788199201,0.6286558950342711,1.0,0,0.01,-45.3621332772787,0.10780709357225948
force_adapter,val,z_0.012,8,0.00037112786321813473,0.3041383330710232,0.7063819728791714,1.5576655380427837,1.4988740487024188,0.601970337331295,0.23200552351772785,0.18503180146217346,0.29914724081754684,0.2118375226855278,0.7668810439094498,0.8579166464514382,0.0006019703432684764,0.5234144383209929,1.0,0,0.012,-49.77952480905193,0.1344139026174983
force_adapter,test,z_0.006,8,0.0003904343302565394,0.39855792466551065,0.7431238628923893,1.3212368600070477,1.7775480151176453,0.8193143401294947,0.23644948471337557,0.2854508087038994,0.20674022287130356,0.21715742349624634,0.7971197318486842,0.882553030735757,0.0008193143585231155,0.3711651194310385,1.0,0,0.006,-47.16700215844949,0.1590502869018171
force_adapter,test,z_0.008,8,0.00033582090327399783,0.30298850405961275,0.7168088965117931,1.7733080424368382,1.8467521127313375,0.6604378619231284,0.22719282284379005,0.2852642983198166,0.19054941087961197,0.2057647556066513,0.752595122055137,0.8559097468136415,0.000660437872284092,0.5526479396301551,1.0,0,0.008,-54.55721056556476,0.13240700297970165
force_adapter,test,z_0.010,8,0.0004915190911560785,0.6288290098309517,0.8895113542675972,2.3433149475604296,1.7410872671753168,0.9877640195190907,0.27817832864820957,0.34016627073287964,0.2201959192752838,0.274172805249691,0.6993300862726202,0.8139296014373907,0.0009877640259219334,0.9470983907161148,1.0,0,0.01,-33.4883613716368,0.09042685760345082
force_adapter,test,z_0.012,8,0.00042968721254510456,0.5205546701326966,0.7856310196220875,2.151786223053932,1.627500155940652,0.8047254523262382,0.24706030823290348,0.2955206409096718,0.20489028096199036,0.24077001214027405,0.7293243316517782,0.8306513939805732,0.0008047254523262382,0.6639198985129682,1.0,0,0.012,-41.85536000888813,0.10714865014663333
