candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
current_grid_decoder_baseline_mean,mean,test,area_bin,large,current_baseline,0.9,67,0.39383635426675495,0.5447516462815506,0.26074590830334093,1.1833199154428062,0.0,55.0,11.666666666666666,0.6778420922449646
current_grid_decoder_baseline_std,sample_std,test,area_bin,large,current_baseline,0.9,67,0.006438402838350402,0.0037732574139455835,0.04122381883903902,0.010929624443349568,0.0,4.58257569495584,4.163331998932265,0.05135802480954264
current_grid_decoder_baseline_mean,mean,test,area_bin,medium,current_baseline,0.9,66,0.3377081612030152,0.48374227757150834,0.19575794035235264,1.2999437019755744,0.0,42.666666666666664,23.333333333333332,0.6256924984221709
current_grid_decoder_baseline_std,sample_std,test,area_bin,medium,current_baseline,0.9,66,0.006782338497550899,0.008418394352875364,0.016164267117227148,0.09028573047412326,0.0,7.371114795831994,7.371114795831994,0.029891575185409205
current_grid_decoder_baseline_mean,mean,test,area_bin,small,current_baseline,0.9,67,0.28571660697039425,0.41513942803778986,0.40771047832903823,1.2636610926657494,1.3333333333333333,17.0,49.333333333333336,0.29314555667914594
current_grid_decoder_baseline_std,sample_std,test,area_bin,small,current_baseline,0.9,67,0.0026340728104983853,0.0006822887850086693,0.08919397304892765,0.089654415932888,1.1547005383792517,6.557438524302,5.686240703077327,0.08828007308192436
current_grid_decoder_baseline_mean,mean,test,defect_type,multi_defect,current_baseline,0.9,62,0.32804035882303256,0.4737338153680764,0.27988707010178315,1.3979354594053042,0.0,43.0,18.666666666666668,0.5218871040893259
current_grid_decoder_baseline_std,sample_std,test,defect_type,multi_defect,current_baseline,0.9,62,0.0051136330401691,0.005337220501884942,0.014938022990371806,0.06319342823124884,0.0,5.291502622129181,4.932882862316247,0.02495501792528408
current_grid_decoder_baseline_mean,mean,test,defect_type,polygon,current_baseline,0.9,75,0.3116151876403607,0.4446786727075623,0.35627135568065516,1.1646215822114474,1.3333333333333333,32.0,42.333333333333336,0.40002250466726785
current_grid_decoder_baseline_std,sample_std,test,defect_type,polygon,current_baseline,0.9,75,0.0024599791833818936,0.0015864049290544647,0.05645051904763493,0.06182091323301302,1.1547005383792517,7.54983443527075,6.658328118479393,0.05293304547770396
current_grid_decoder_baseline_mean,mean,test,defect_type,rotated_rect,current_baseline,0.9,63,0.38268485273385605,0.5320205602099596,0.2164008245280157,1.200232280644948,0.0,39.666666666666664,23.333333333333332,0.6983045884157999
current_grid_decoder_baseline_std,sample_std,test,defect_type,rotated_rect,current_baseline,0.9,63,0.00920530505933732,0.007104954684332351,0.017990471267559316,0.016141006480472363,0.0,5.686240703077327,5.686240703077327,0.034138073646740506
current_grid_decoder_baseline_mean,mean,test,overall,all,current_baseline,0.9,200,0.33909393521144,0.4811984614955769,0.2885330098381234,1.2489396608815928,1.3333333333333333,114.66666666666667,84.33333333333333,0.5317593868688935
current_grid_decoder_baseline_std,sample_std,test,overall,all,current_baseline,0.9,200,0.004829871640553664,0.004134346535408789,0.011635553939120094,0.011914216604778977,1.1547005383792517,18.44812546936228,17.21433511156714,0.0028923642079629417
current_grid_decoder_baseline_mean,mean,test,signal_bin,low_signal,current_baseline,0.9,67,0.2578879060127119,0.38606736270580905,0.37615006197609363,1.364451402524993,1.3333333333333333,38.666666666666664,27.666666666666668,0.2678052067424272
current_grid_decoder_baseline_std,sample_std,test,signal_bin,low_signal,current_baseline,0.9,67,0.013565173322711649,0.015793085858882353,0.03245252781895937,0.014973321206378763,1.1547005383792517,6.506407098647712,5.507570547286101,0.007958242601676272
current_grid_decoder_baseline_mean,mean,test,signal_bin,non_low_signal,current_baseline,0.9,133,0.3800022356348595,0.5291216466001966,0.24439509635508574,1.1918649761435718,0.0,76.0,56.666666666666664,0.6647287858799703
current_grid_decoder_baseline_std,sample_std,test,signal_bin,non_low_signal,current_baseline,0.9,133,0.0036380193709591615,0.003599226192814264,0.002877223928219862,0.023259170788636128,0.0,12.288205727444508,11.930353445448853,0.004771987288949685
