candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
current_mask_boundary_baseline_val_reference,42,val,overall,all,0.9,200,0.3352410503786938,0.47333697469088565,0.2974684679673945,1.1680362071765928,4,111,89,0.5111095571021849,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,area_bin,small,0.9,67,0.2671403431774461,0.38256970617643077,0.40762543625358116,1.1374792266814482,4,21,46,0.24208461310029572,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,area_bin,medium,0.9,66,0.360591361722771,0.5052519951425017,0.21471540871960354,1.2848697054115208,0,40,26,0.6511279481456693,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,area_bin,large,0.9,67,0.3783698090917458,0.5326655663425546,0.26882943864171843,1.0816791756495612,0,50,17,0.6422059367925819,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,signal_bin,low_signal,0.9,67,0.2547573380794052,0.3739200563062739,0.416821658953093,1.2614327915722416,4,37,30,0.21185573543258618,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,signal_bin,non_low_signal,0.9,133,0.3757854768753278,0.5234191816966676,0.23734317626783208,1.1237957198312856,0,74,59,0.6618614823041633,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,defect_type,multi_defect,0.9,71,0.3459154950460193,0.4958885393175173,0.31551616127212423,1.1679530849444195,0,49,22,0.5262878730914125,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,defect_type,polygon,0.9,72,0.26210132912219986,0.3793634929284398,0.3552748657814242,1.2528385169913663,4,31,41,0.2861899562692154,0.5118061660128489
current_mask_boundary_baseline_val_reference,42,val,defect_type,rotated_rect,0.9,57,0.4143318286082979,0.5639497746629075,0.20196940012097456,1.0669720775464124,0,31,26,0.7763122031502309,0.5118061660128489
current_mask_boundary_baseline_val_reference,123,val,overall,all,0.9,200,0.33256863811415727,0.4726055521830527,0.30650780285082446,1.1595637473158347,5,144,56,0.4986663874463856,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,area_bin,small,0.9,67,0.2584115511670196,0.37317560116583365,0.35428493073326667,1.1278241417340693,5,35,32,0.27730222159958656,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,area_bin,medium,0.9,66,0.3630314427136667,0.5108582683734254,0.25210208867928985,1.2934171505498164,0,47,19,0.6217876224078023,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,area_bin,large,0.9,67,0.3767175891871513,0.534353723072442,0.31232436355526727,1.057079134369964,0,62,5,0.598746948704326,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,signal_bin,low_signal,0.9,67,0.24885745769223708,0.368969822364355,0.43587031587371045,1.2408675738880712,5,52,15,0.1819569641828816,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,signal_bin,non_low_signal,0.9,133,0.3747389320109141,0.5248130250992388,0.24134022110245335,1.121662715379905,0,92,41,0.6582117360076996,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,defect_type,multi_defect,0.9,71,0.3529952647639325,0.5062508133528809,0.3460515319157694,1.1965983648535232,0,59,12,0.5131945462010441,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,defect_type,polygon,0.9,72,0.2614729454466128,0.3775099679723825,0.30997792033606975,1.2227171979733367,5,43,29,0.3290049930829255,0.49927893090390496
current_mask_boundary_baseline_val_reference,123,val,defect_type,rotated_rect,0.9,57,0.39693003074449323,0.5508172806060428,0.2528682726306711,1.0391999045223521,0,42,15,0.6948790387198651,0.49927893090390496
current_mask_boundary_baseline_val_reference,2026,val,overall,all,0.9,200,0.34280012249975994,0.482889854326052,0.28236437107976825,1.2276198785565793,0,102,98,0.5433256057460436,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,area_bin,small,0.9,67,0.26960436729954596,0.38790530508820453,0.391746859222166,1.328717077734755,0,15,52,0.2657628131655845,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,area_bin,medium,0.9,66,0.3770136046215445,0.5245278915991243,0.20461756045451585,1.222734734924002,0,36,30,0.6969239357661529,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,area_bin,large,0.9,67,0.38229304456508173,0.5368578295337088,0.24956829340403716,1.13133491041945,0,51,16,0.6695825806947533,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,signal_bin,low_signal,0.9,67,0.26452928839073026,0.38666777361286464,0.37162911774910484,1.4166901184996563,0,33,34,0.2795679442544901,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,signal_bin,non_low_signal,0.9,133,0.38222979081032377,0.5313626318281838,0.23739641599070402,1.132373968209315,0,69,64,0.6761960066478034,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,defect_type,multi_defect,0.9,71,0.35181579985343153,0.5049515726951618,0.2833789726477896,1.1834627517931897,0,48,23,0.5733883999008038,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,defect_type,polygon,0.9,72,0.27168371085072823,0.3908026241307294,0.3491210148452637,1.403399993148115,0,23,49,0.3133653201361939,0.5440897765421635
current_mask_boundary_baseline_val_reference,2026,val,defect_type,rotated_rect,0.9,57,0.42140132507203365,0.5717301801130069,0.19677638752809856,1.06058457591816,0,31,26,0.796355117656942,0.5440897765421635
current_mask_boundary_baseline_val_reference_mean,mean,val,area_bin,large,0.9,67,0.3791268142813262,0.5346257063162351,0.276907365200341,1.0900310734796583,0.0,54.333333333333336,12.666666666666666,0.6368451553972204,0.5183916244863057
current_mask_boundary_baseline_val_reference_std,sample_std,val,area_bin,large,0.9,67,0.0028637769310147308,0.0021093242590115723,0.03214841766434863,0.03782586042909189,0.0,6.658328118479393,6.658328118479393,0.035720794682473855,0.023119886876522073
current_mask_boundary_baseline_val_reference_mean,mean,val,area_bin,medium,0.9,66,0.36687880301932735,0.5135460517050171,0.2238116859511364,1.2670071969617798,0.0,41.0,25.0,0.6566131687732081,0.5183916244863057
current_mask_boundary_baseline_val_reference_std,sample_std,val,area_bin,medium,0.9,66,0.008861385413565933,0.00991504818343285,0.02501503147683443,0.038578528688415444,0.0,5.5677643628300215,5.5677643628300215,0.03786729631582701,0.023119886876522073
current_mask_boundary_baseline_val_reference_mean,mean,val,area_bin,small,0.9,67,0.26505208721467055,0.38121687081015637,0.38455240873633795,1.1980068153834242,3.0,23.666666666666668,43.333333333333336,0.2617165492884889,0.5183916244863057
current_mask_boundary_baseline_val_reference_std,sample_std,val,area_bin,small,0.9,67,0.0058813597890867405,0.007457457144118178,0.027388363781639988,0.11330130043075665,2.6457513110645907,10.263202878893768,10.263202878893768,0.01795408520712339,0.023119886876522073
current_mask_boundary_baseline_val_reference_mean,mean,val,defect_type,multi_defect,0.9,71,0.3502421865544611,0.50236364178852,0.3149822219452277,1.1826714005303776,0.0,52.0,19.0,0.5376236063977534,0.5183916244863057
