candidate,split,liftoff_subset,sample_count,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error,seed,selected_seed,best_epoch,best_val_selection_metric,selection_score,validation_only_selection,test_final_only,eligible_for_multiseed_or_candidate
A0_baseline_replay,train,all_liftoff,128,0.837524481699802,0.7733878420840483,0.9016611180268228,4.614186036982574,3.2663393799448386,1.2947454533714335,0.21211101720109582,0.1935336901806295,0.18740204442292452,0.19768225043662824,0.6270573851236825,0.7462953726884769,0.0006254091322261957,0.5381792347470764,0.001294745457926183,1.993938519562405,42,False,,,,True,False,True
A0_baseline_replay,train,nominal_0p008,32,0.6661784639582038,0.44832554238382727,0.8840313809923828,1.5755489226430655,2.1108921375125647,0.9471729106735438,0.2070190366357565,0.1878732554614544,0.1862651500850916,0.19371914688963443,0.7619212145400788,0.8544802321194553,0.00046434335854428355,0.30935573438182473,0.000947172909945948,0.5445856092372761,42,False,,,,True,False,True
A0_baseline_replay,train,non_nominal,96,0.8946398209470013,0.881741941984122,0.9075376970383028,5.627065075095743,3.6514884607555964,1.4106029676040635,0.21380834405620894,0.19542050175368786,0.18778100920220217,0.19900328495229283,0.5821027753182171,0.7102337528781509,0.0006790977234534997,0.6144537348688269,0.0014106029739195947,2.4770561563374485,42,False,,,,True,False,True
A0_baseline_replay,val,all_liftoff,32,0.8592070518061519,0.8241240833885968,0.8942900141701102,5.5912699066102505,2.6322431010194123,1.5019468006212264,0.15664303302764893,0.2554229535162449,0.17546591721475124,0.19584396691061556,0.6078580132514508,0.7329649329171493,0.0007284438538590621,0.6678243273636326,0.001501946804637555,2.1229066164626405,42,False,,,,True,False,True
A0_baseline_replay,val,nominal_0p008,8,0.6577839776873589,0.4359357263892889,0.8796322047710419,1.9183284640312195,1.449089104309678,1.0309421084821224,0.15310583263635635,0.24894972145557404,0.17551090568304062,0.19252215698361397,0.7816422193776145,0.8663993654898648,0.0005097355888210586,0.4016190767288208,0.0010309420904377475,0.7608601356431106,42,False,,,,True,False,True
A0_baseline_replay,val,non_nominal,24,0.9263480765124162,0.9535202023883661,0.8991759506364664,6.815583720803261,3.0266277665893235,1.6589483646675944,0.15782209982474646,0.2575806975364685,0.17545092105865479,0.19695123688628277,0.5499299445427296,0.6884867887262441,0.0008013466088717299,0.7565594109085699,0.0016589483760374908,2.57692211006915,42,False,,,,True,False,True
A0_baseline_replay,test,all_liftoff,32,0.9307210445404053,0.8529509045183659,1.008491175249219,5.150373874465004,3.26063746586442,1.5289002726785839,0.2764113135635853,0.19207628071308136,0.19737239927053452,0.22195333102717996,0.597953641099464,0.7235027438339399,0.0007389971158318076,1.0016460048500448,0.001528900258563226,3.551193152132911,42,False,,,,True,True,True
A0_baseline_replay,test,nominal_0p008,8,0.7085845693945885,0.3868134059011936,1.03035569190979,1.8778077894821763,1.9728609323501587,0.6381535693071783,0.2824019268155098,0.1906532645225525,0.20671404153108597,0.22658974677324295,0.7387764381632839,0.8439570430594017,0.0003330594072394888,0.31298541370779276,0.0006381535640684888,0.6588381767874536,42,False,,,,True,True,True
A0_baseline_replay,test,non_nominal,24,1.0047665362556775,1.0083300707240899,1.0012030030290286,6.241229236125946,3.6898963103691735,1.8258158404690523,0.27441444247961044,0.19255061944325766,0.19425851851701736,0.22040785911182562,0.5510127087448574,0.6833513107587862,0.0008743096853625806,1.2311995352307956,0.0018258158233948052,4.515311477248064,42,False,,,,True,True,True
A2_latent_residual_adapter,train,all_liftoff,128,0.5905599227407947,0.40585682714299764,0.7752630130271427,1.2558823967119679,1.7549988708342426,0.7628942667215597,0.18693154864013195,0.1670373696833849,0.1632899260148406,0.17241961431864183,0.8045488364828399,0.885698506076617,0.0003656762964396876,0.2555165527155623,0.0007628942648807424,0.41016821255395003,42,False,101,0.5116661638357902,,True,False,True
