variant,seed,feature_set,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,curvature_template,LD_dominant,8,0.6342494711279869,1.9585159495472908,1.6662422083318233,0.5487085632048547,0.20490333810448647,0.3172450214624405,0.16925033926963806,0.12821464985609055,0.776896624991082,0.8707838294575517,0.00026808084317053726
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,curvature_template,WD_dominant,8,0.5980878695845604,1.7471116743981838,2.4257135093212128,1.199461691081524,0.14680790808051825,0.1279163509607315,0.2437681034207344,0.06873927265405655,0.7514012820015838,0.851647933141946,0.0005576520379690919
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,curvature_template,boxy,7,0.7850078684943063,2.3685316017695834,1.6794780961104803,0.9003815246479852,0.24468634756548063,0.24137291737965175,0.233475855418614,0.2592102885246277,0.8000377461535768,0.8832692297215062,0.0004908302570194272
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,curvature_template,round,8,0.660738680511713,1.839894836768508,2.0174149610102177,0.854157967492938,0.19446431938558817,0.21982039511203766,0.18078095465898514,0.182791605591774,0.7906810669764961,0.8790489615824517,0.0003555241291905986
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,curvature_template,sharp,8,0.6759980339556932,2.280147498473525,1.228407222777605,1.2733522052876651,0.18783015792723745,0.18207556009292603,0.18814020603895187,0.19327470660209656,0.7568750639721542,0.8501997467234389,0.0005600910094472056
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,depth_bin,deep,11,0.6699787649241361,1.743661257353696,1.655572306026112,1.2175976485013962,0.18966836414553903,0.22756982933391223,0.2044758525761691,0.13695940646258267,0.8170208512096413,0.8968238478019159,0.0005513489238431
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,depth_bin,medium,11,0.6260647421533411,1.790382144126025,1.8862733895128423,0.9149245792491869,0.17910240150310777,0.20436223528601907,0.16543421962044455,0.16751075874675403,0.8068682344851741,0.8872787555436559,0.0004629946643862323
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,depth_bin,shallow,17,0.6935981731204426,2.371211968800601,1.8528392490218668,0.8147276225773727,0.20755128228269956,0.21851860775667079,0.22475511887494257,0.1793801223530489,0.7261362696448588,0.8335999846171976,0.00036522449922545897
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,aspect_bin,balanced,9,0.5780132462580999,2.895462433497111,1.0437554584609137,0.8769694111413426,0.16070739624814856,0.1661165820227729,0.1767872240808275,0.13921838336520725,0.7981021910093601,0.8842371681826767,0.00038252895400445495
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,aspect_bin,compact,9,0.8072890937328339,1.8859808908568487,1.3838517765204112,1.0392953351967864,0.2602993506524298,0.27562514940897626,0.2846350934770372,0.22063780493206447,0.7211086433539502,0.8280617179615734,0.0004671948906131244
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,aspect_bin,narrow,9,0.7526127994060516,1.782898270421558,2.6378859413994684,0.7303967629041936,0.2319500744342804,0.27018197377522785,0.2246862848599752,0.2009819812244839,0.7576561387937214,0.8586369508242737,0.0003607559784642136
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,test,aspect_bin,wide,12,0.5672009388605753,1.6755005444089572,2.0724276080727577,1.1240133754909039,0.14235323574393988,0.17156297465165457,0.14290586610635123,0.11259086430072784,0.8096078140160236,0.8881588202147449,0.0005393564624682767
