candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
current_mask_boundary_baseline,42,test,overall,all,0.9,200,0.3295379087692274,0.4700482351963425,0.31223903299292166,1.2322601632872208,3,136,64,0.48734711097264816,0.4874484045868535
current_mask_boundary_baseline,42,test,area_bin,small,0.9,67,0.2719872069056987,0.3960930373479785,0.31148668549456043,1.2088454097509385,2,28,39,0.35659355875911686,0.4874484045868535
current_mask_boundary_baseline,42,test,area_bin,medium,0.9,66,0.3327407543905261,0.4749166667899398,0.29995029375256277,1.414890858760247,1,51,15,0.5077071274279031,0.4874484045868535
current_mask_boundary_baseline,42,test,area_bin,large,0.9,67,0.3839335686774469,0.5392076646092228,0.325096705713129,1.0777969360351562,0,57,10,0.5980445275735407,0.4874484045868535
current_mask_boundary_baseline,42,test,signal_bin,low_signal,0.9,67,0.2364929690080043,0.3553173764372632,0.38699976432552496,1.4785618938039988,3,46,21,0.20481058111974249,0.4874484045868535
current_mask_boundary_baseline,42,test,signal_bin,non_low_signal,0.9,133,0.37641017165646007,0.5278449835937734,0.27457761194567043,1.113739029805463,0,90,43,0.629677543304563,0.4874484045868535
current_mask_boundary_baseline,42,test,defect_type,multi_defect,0.9,62,0.3185763445106243,0.4618208947614695,0.36376386207691525,1.4575144677865701,1,48,14,0.41663337719517846,0.4874484045868535
current_mask_boundary_baseline,42,test,defect_type,polygon,0.9,75,0.3015741884516596,0.43057265287928875,0.31158761235591637,1.1032353095608214,2,42,33,0.42055922897503206,0.4874484045868535
current_mask_boundary_baseline,42,test,defect_type,rotated_rect,0.9,63,0.37361562317956026,0.5251397237795354,0.2623075590971724,1.1636617783279646,0,46,17,0.6364477878619232,0.4874484045868535
current_mask_boundary_baseline,123,test,overall,all,0.9,200,0.3498299322673909,0.4931049311535514,0.32891938433689416,1.2175570983316142,4,115,85,0.5140154790840482,0.5146098322493917
current_mask_boundary_baseline,123,test,area_bin,small,0.9,67,0.29241117615414863,0.42140254413010164,0.45005038279379667,1.2087402911140368,2,12,55,0.2637633374904536,0.5146098322493917
current_mask_boundary_baseline,123,test,area_bin,medium,0.9,66,0.35073349800242754,0.4964395320977945,0.21369256478210952,1.2527150285895914,2,45,21,0.6334804653181125,0.5146098322493917
current_mask_boundary_baseline,123,test,area_bin,large,0.9,67,0.40635860870134327,0.5615224873961052,0.32129540215783925,1.1925270226992555,0,58,9,0.6465856939396092,0.5146098322493917
current_mask_boundary_baseline,123,test,signal_bin,low_signal,0.9,67,0.26949841606368474,0.3973933640512206,0.45705370652464555,1.3390816849848581,4,34,33,0.2098380735902598,0.5146098322493917
current_mask_boundary_baseline,123,test,signal_bin,non_low_signal,0.9,133,0.3902976885504609,0.5413205326261542,0.264370515264869,1.1599928204432355,0,81,52,0.6672477059117461,0.5146098322493917
current_mask_boundary_baseline,123,test,defect_type,multi_defect,0.9,62,0.3422171250691905,0.4885694285858315,0.3848513445473484,1.3969640081127486,2,45,17,0.4459352091076737,0.5146098322493917
current_mask_boundary_baseline,123,test,defect_type,polygon,0.9,75,0.31835428506385355,0.4519944947843738,0.37699179027025653,1.1090039776204383,2,30,45,0.39335698957797083,0.5146098322493917
