model,selected_model,seed,split,subset,sample_count,total_error_mean,total_error_median,total_error_p90,total_error_p95,total_error_max,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,dimension_outlier_count,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_error_count,shape_error_rate
old_B2_v2_artifact,False,2026,train,all,240,0.2744836211204529,0.07065628468990326,0.8416489362716675,0.9629982113838196,1.2973376512527466,0.3128109574317932,0.052536897361278534,1.0363984107971191,1.2111456394195557,2.050776720046997,2.3188650608062744,0.9774914979934692,5.929510116577148,8.564321517944336,15.49980640411377,60,26,0.10833333333333334,8,0.03333333333333333,40,0.16666666666666666
old_B2_v2_artifact,False,2026,train,source_v2,160,0.05682247132062912,0.05040930211544037,0.09640681743621826,0.10371191054582596,0.12566329538822174,0.03966078162193298,0.02855435013771057,0.09356721490621567,0.11849357932806015,0.1821601688861847,0.7859276533126831,0.581739068031311,1.7235692739486694,2.032379627227783,2.8377187252044678,3,0,0.0,0,0.0,0,0.0
old_B2_v2_artifact,False,2026,train,hardcase_topup,80,0.7098058462142944,0.6880661249160767,0.9930136203765869,1.074732780456543,1.2973376512527466,0.8591114282608032,0.8363415598869324,1.628481388092041,1.8839163780212402,2.050776720046997,5.384739398956299,4.727306365966797,9.938932418823242,10.010553359985352,15.49980640411377,57,26,0.325,8,0.1,40,0.5
old_B2_v2_artifact,False,2026,val,all,60,0.40126046538352966,0.41962921619415283,0.9384888410568237,1.0003052949905396,1.1440492868423462,0.4228484034538269,0.1247861310839653,1.4792710542678833,1.790385365486145,2.3172454833984375,2.9516570568084717,2.020689010620117,5.973193168640137,8.068853378295898,15.49980640411377,23,7,0.11666666666666667,3,0.05,12,0.2
old_B2_v2_artifact,False,2026,val,source_v2,40,0.23987606167793274,0.06133753061294556,0.6535821557044983,0.8057038187980652,0.9795726537704468,0.18651756644248962,0.03297324478626251,0.6651864051818848,0.9176271557807922,1.7685025930404663,1.9133903980255127,1.0553686618804932,4.483675479888916,5.362172603607178,7.489675521850586,9,1,0.025,0,0.0,0,0.0
old_B2_v2_artifact,False,2026,val,hardcase_topup,20,0.7240294218063354,0.6670451760292053,1.0462642908096313,1.0724159479141235,1.1440492868423462,0.8955100178718567,0.5220839381217957,1.9007407426834106,2.179185628890991,2.3172454833984375,5.028191089630127,4.573312759399414,8.868672370910645,11.802412986755371,15.49980640411377,14,6,0.3,3,0.15,12,0.6
old_B2_v2_artifact,False,2026,test,all,60,0.5150468945503235,0.5638318061828613,0.8801607489585876,0.9800975918769836,1.109633207321167,0.557573676109314,0.3644435405731201,1.5437207221984863,1.6929956674575806,2.096271514892578,4.680812358856201,4.092339515686035,8.64081859588623,12.077329635620117,22.544387817382812,33,12,0.2,3,0.05,10,0.16666666666666666
old_B2_v2_artifact,False,2026,test,source_v2,40,0.3992348611354828,0.43355703353881836,0.8047977685928345,0.8701521158218384,0.9117769002914429,0.4132470488548279,0.2599026560783386,1.0779533386230469,1.266088604927063,1.6737254858016968,3.0961296558380127,3.0332322120666504,5.556337356567383,8.308866500854492,8.785345077514648,16,5,0.125,1,0.025,1,0.025
old_B2_v2_artifact,False,2026,test,hardcase_topup,20,0.7466709017753601,0.8171233534812927,1.0511541366577148,1.107627272605896,1.109633207321167,0.8462269902229309,0.6757853627204895,1.707651138305664,1.7650840282440186,2.096271514892578,7.8501787185668945,6.438363552093506,13.928462028503418,21.395326614379883,22.544387817382812,17,7,0.35,2,0.1,9,0.45
